dispatching_base_number,date,active_vehicles,trips,pickup_datetime,year,month,day,hour,weekday,is_weekend
B02764,2015-02-14,4129,45858,2015-02-14,2015,2,14,0,Saturday,True
B02512,2015-02-14,236,2055,2015-02-14,2015,2,14,0,Saturday,True
B02598,2015-02-14,1111,12678,2015-02-14,2015,2,14,0,Saturday,True
B02765,2015-02-14,583,6307,2015-02-14,2015,2,14,0,Saturday,True
B02617,2015-02-14,1486,16999,2015-02-14,2015,2,14,0,Saturday,True
B02682,2015-02-14,1428,16448,2015-02-14,2015,2,14,0,Saturday,True
B02682,2015-02-15,1261,14517,2015-02-15,2015,2,15,0,Sunday,True
B02764,2015-02-15,3651,41209,2015-02-15,2015,2,15,0,Sunday,True
B02617,2015-02-15,1293,14662,2015-02-15,2015,2,15,0,Sunday,True
B02765,2015-02-15,521,5500,2015-02-15,2015,2,15,0,Sunday,True
B02512,2015-02-15,210,1996,2015-02-15,2015,2,15,0,Sunday,True
B02598,2015-02-15,1003,11517,2015-02-15,2015,2,15,0,Sunday,True
B02598,2015-02-16,934,9052,2015-02-16,2015,2,16,0,Monday,False
B02512,2015-02-16,207,1576,2015-02-16,2015,2,16,0,Monday,False
B02617,2015-02-16,1214,11824,2015-02-16,2015,2,16,0,Monday,False
B02764,2015-02-16,3524,33448,2015-02-16,2015,2,16,0,Monday,False
B02682,2015-02-16,1164,11323,2015-02-16,2015,2,16,0,Monday,False
B02765,2015-02-16,508,4875,2015-02-16,2015,2,16,0,Monday,False
B02764,2015-02-17,3826,32473,2015-02-17,2015,2,17,0,Tuesday,False
B02512,2015-02-17,241,1797,2015-02-17,2015,2,17,0,Tuesday,False
B02682,2015-02-17,1314,11887,2015-02-17,2015,2,17,0,Tuesday,False
B02617,2015-02-17,1378,12524,2015-02-17,2015,2,17,0,Tuesday,False
B02598,2015-02-17,1066,9463,2015-02-17,2015,2,17,0,Tuesday,False
B02765,2015-02-17,578,4907,2015-02-17,2015,2,17,0,Tuesday,False
B02598,2015-02-18,1078,9538,2015-02-18,2015,2,18,0,Wednesday,False
B02682,2015-02-18,1314,11724,2015-02-18,2015,2,18,0,Wednesday,False
B02617,2015-02-18,1394,12016,2015-02-18,2015,2,18,0,Wednesday,False
B02765,2015-02-18,586,5059,2015-02-18,2015,2,18,0,Wednesday,False
B02764,2015-02-18,3842,32317,2015-02-18,2015,2,18,0,Wednesday,False
B02512,2015-02-18,228,1589,2015-02-18,2015,2,18,0,Wednesday,False
B02598,2015-02-19,1127,11739,2015-02-19,2015,2,19,0,Thursday,False
B02512,2015-02-19,250,2120,2015-02-19,2015,2,19,0,Thursday,False
B02682,2015-02-19,1428,14591,2015-02-19,2015,2,19,0,Thursday,False
B02764,2015-02-19,4110,39110,2015-02-19,2015,2,19,0,Thursday,False
B02765,2015-02-19,663,6447,2015-02-19,2015,2,19,0,Thursday,False
B02617,2015-02-19,1452,14750,2015-02-19,2015,2,19,0,Thursday,False
B02764,2015-02-20,4384,44755,2015-02-20,2015,2,20,0,Friday,False
B02617,2015-02-20,1574,16856,2015-02-20,2015,2,20,0,Friday,False
B02598,2015-02-20,1186,12758,2015-02-20,2015,2,20,0,Friday,False
B02682,2015-02-20,1497,16342,2015-02-20,2015,2,20,0,Friday,False
B02765,2015-02-20,736,7824,2015-02-20,2015,2,20,0,Friday,False
B02512,2015-02-20,272,2380,2015-02-20,2015,2,20,0,Friday,False
B02598,2015-02-21,1044,12132,2015-02-21,2015,2,21,0,Saturday,True
B02682,2015-02-21,1374,16149,2015-02-21,2015,2,21,0,Saturday,True
B02765,2015-02-21,685,7658,2015-02-21,2015,2,21,0,Saturday,True
B02617,2015-02-21,1443,16098,2015-02-21,2015,2,21,0,Saturday,True
B02512,2015-02-21,238,2149,2015-02-21,2015,2,21,0,Saturday,True
B02764,2015-02-21,3981,44194,2015-02-21,2015,2,21,0,Saturday,True
B02512,2015-02-22,199,1312,2015-02-22,2015,2,22,0,Sunday,True
B02617,2015-02-22,1248,10696,2015-02-22,2015,2,22,0,Sunday,True
B02682,2015-02-22,1220,10970,2015-02-22,2015,2,22,0,Sunday,True
B02764,2015-02-22,3478,30157,2015-02-22,2015,2,22,0,Sunday,True
B02598,2015-02-22,909,8271,2015-02-22,2015,2,22,0,Sunday,True
B02765,2015-02-22,566,5034,2015-02-22,2015,2,22,0,Sunday,True
